athlete_name,count
Michael Phelps,190894
Neymar,178648
Usain Bolt,176413
Simone Biles,81995
William,65139
Ryan Lochte,41688
Katie Ledecky,39893
Yulimar Rojas,35638
Simone Manuel,28415
Joseph Schooling,26992
Rafaela Silva,26066
Sakshi Malik,25210
Wayde van Niekerk,23055
Andy Murray,22326
Kevin Durant,21509
Tontowi Ahmad,21153
Liliyana Natsir,20498
Monica Puig,18710
Andre de Grasse,18213
Penny Oleksiak,18109
Rafael Nadal,16805
Laura Trott,16364
Ruth Beitia,15939
Luan,15724
Teddy Riner,14730
Lilly King,14423
Jason Kenny,12564
Shaunae Miller,12399
Elaine Thompson,12283
Caster Semenya,12031
